vulnerability_rank,facility_iata,facility_name,city,country,latitude,longitude,degree,in_degree,out_degree,betweenness,influence_score,total_shipment_volume,regional_hub_id
1,CDG,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,470,233,237,0.0631975460927111,0.1592548569900279,1041,2
2,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,295,147,148,0.060142143936041656,0.07587496506088874,986,3
3,DXB,Dubai International Airport,Dubai,United Arab Emirates,25.2527999878,55.3643989563,368,181,187,0.05909196689527076,0.10271112104397158,706,9
4,ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440032958984,-149.99600219726562,68,34,34,0.05367240001868719,0.007011315563362789,118,21
5,FRA,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556,477,238,239,0.05194158696389547,0.16578156893654825,990,2
6,PEK,Beijing Capital International Airport,Beijing,China,40.080101013183594,116.58499908447266,408,204,204,0.04989734755534952,0.08351826770567641,1050,20
7,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,409,203,206,0.04503917983594114,0.09021028988214672,1108,3
8,YYZ,Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.63059997559999,293,146,147,0.043752363264909194,0.08883000091561756,636,3
9,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,463,231,232,0.04368367150445417,0.16594722344115984,903,2
10,IST,Istanbul Airport,Istanbul,Turkey,41.275278,28.751944,455,229,226,0.04272626491413331,0.1295905601588546,715,2
11,GRU,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,182,90,92,0.04126919084765437,0.04830381661696684,387,11
12,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,342,171,171,0.03889410960146844,0.13707334769329263,1051,3
13,NRT,Narita International Airport,Tokyo,Japan,35.7647018433,140.386001587,206,103,103,0.03496626253672788,0.06377881624629943,575,18
14,SYD,Sydney Kingsford Smith International Airport,Sydney,Australia,-33.94609832763672,151.177001953125,168,83,85,0.03417945059159445,0.01782141918626968,410,18
15,SEA,Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998,183,93,90,0.03107700232900861,0.04647684194140105,402,3
16,SIN,Singapore Changi Airport,Singapore,Singapore,1.35019,103.994003,250,125,125,0.030706639058903248,0.05095943778878975,820,18
17,BNE,Brisbane International Airport,Brisbane,Australia,-27.384199142456055,153.11700439453125,114,55,59,0.030479773270530763,0.010344800570871948,294,18
18,DME,Domodedovo International Airport,Moscow,Russia,55.40879821777344,37.90629959106445,376,188,188,0.029931156085098495,0.07664488574835861,647,14
19,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,433,216,217,0.029811570491758504,0.08132626912744649,1826,3
20,YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502,185,92,93,0.02945957996948592,0.0634728152028851,371,3
21,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,22.308901,113.915001,265,133,132,0.028669216079681602,0.06026932654495643,708,18
22,ICN,Incheon International Airport,Seoul,South Korea,37.46910095214844,126.45099639892578,260,130,130,0.02741232815428285,0.06369780508584952,736,18
23,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,322,160,162,0.02581424153436531,0.10618304621371437,911,3
24,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,372,185,187,0.025577711809838942,0.06340381227984399,936,3
25,DEN,Denver International Airport,Denver,United States,39.861698150635,-104.672996521,335,167,168,0.025301039136124165,0.04899000258589327,733,3
